CVE_EST,CVE_MUN,LATITUD,LONGITUD,ALTITUD,CARTA_TOPO,TIPO,NOMBRE_EDO,NOMBRE_MUN
14,1,204646,-1025419,1693,F13D57,U,JALISCO,ACATIC
14,2,202517,-1033514,1371,F13D75,U,JALISCO,ACATLAN DE JUAREZ
14,3,204202,-1035830,1320,F13D64,U,JALISCO,AHUALULCO DE MERCADO
14,4,200038,-1033546,1414,F13D85,U,JALISCO,AMACUECA
14,5,205006,-1034348,1248,F13D54,U,JALISCO,AMATITAN
14,6,203255,-1040235,1239,F13D63,U,JALISCO,AMECA
14,7,204758,-1040001,1351,F13D53,U,JALISCO,SAN JUANITO DE ESCOBEDO
14,8,204220,-1022025,2058,F13D68,U,JALISCO,ARANDAS
14,9,204634,-1034138,1400,F13D54,U,JALISCO,EL ARENAL
14,10,200822,-1034328,2350,F13D84,U,JALISCO,ATEMAJAC DE BRIZUELA
14,11,201632,-1041404,1421,F13D73,U,JALISCO,ATENGO
14,12,202453,-1042933,1300,F13D72,U,JALISCO,ATENGUILLO
14,13,203302,-1023015,1602,F13D68,U,JALISCO,ATOTONILCO EL ALTO
14,14,200038,-1033059,1350,F13D85,U,JALISCO,ATOYAC
14,15,194617,-1042155,920,E13B12,U,JALISCO,AUTLAN DE NAVARRO
14,16,203141,-1021942,1604,F13D69,U,JALISCO,AYOTLAN
14,17,200745,-1042052,1360,F13D82,U,JALISCO,AYUTLA
14,18,201725,-1023231,1529,F13D78,U,JALISCO,LA BARCA
14,19,214954,-1034650,871,F13D14,U,JALISCO,BOLAÑOS
14,20,201906,-1051926,600,F13C79,U,JALISCO,CABO CORRIENTES
14,21,193613,-1042605,366,E13B22,U,JALISCO,CASIMIRO CASTILLO
14,22,191418,-1043347,19,E13B42,U,JALISCO,CIHUATLAN
14,23,194231,-1032751,1519,E13B25,U,JALISCO,ZAPOTLAN EL GRANDE
14,24,202203,-1034927,1336,F13D74,U,JALISCO,COCULA
14,25,220702,-1031553,1666,F13B86,U,JALISCO,COLOTLAN
14,26,195843,-1031526,2121,E13B16,U,JALISCO,CONCEPCION DE BUENOS AIRES
14,27,192659,-1042125,589,E13B32,U,JALISCO,CUAUTITLAN DE GARCIA BARRAGAN
14,28,201205,-1042427,1719,F13D82,U,JALISCO,CUAUTLA
14,29,205539,-1030126,1786,F13D56,U,JALISCO,CUQUIO
14,30,201736,-1031123,1539,F13D76,U,JALISCO,CHAPALA
14,31,214643,-1034650,849,F13D14,U,JALISCO,CHIMALTITAN
14,32,200519,-1035129,1724,F13D84,U,JALISCO,CHIQUILISTLAN
14,33,202651,-1020806,1789,F13D79,U,JALISCO,DEGOLLADO
14,34,195423,-1040943,1138,E13B13,U,JALISCO,EJUTLA
14,35,213128,-1021359,1818,F13D29,U,JALISCO,ENCARNACION DE DIAZ
14,36,204602,-1040442,1389,F13D53,U,JALISCO,ETZATLAN
14,37,194827,-1041256,881,E13B13,U,JALISCO,EL GRULLO
14,38,203435,-1042238,1491,F13D62,U,JALISCO,GUACHINANGO
14,39,204035,-1032032,1536,F13D65,U,JALISCO,GUADALAJARA
14,40,210329,-1040301,1300,F13D43,U,JALISCO,HOSTOTIPAQUILLO
14,41,222144,-1031242,1847,F13B76,U,JALISCO,HUEJUCAR
