NOMBRE,CATEGORIA,CLASE DE ACTIVIDAD
BARRA TROPICAL, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
BLUE RESTAURANTE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL CACHARRITO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL CACHARRITO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL CACHARRITO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA RECOLELETA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL GAUCHO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
MARDEL, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL LLAGAR , A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL AKELARRE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA TASCA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LOS CANARIOS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CASER¡O VASCO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
8 DE JULIO SUC 155, A LA CARTA,Restaurantes de autoservicio
8 DE JULIO SUC 271, A LA CARTA,Restaurantes de autoservicio
A MI CASA DESAYUNOS Y COMIDAS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ABOLENGO RESTARANT BAR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ABORBORETA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ACUEDUCTO SUC 156, A LA CARTA,Restaurantes de autoservicio
ADA, A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas
AFTER OFFICE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
AGIOS ANGGELOS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
AGRODOLCE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
AKOMER, A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas
AL BUEN FUEGO, A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
AL ESTILO MINERVA, A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
AL NATURAL, A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas
AL ROJO CARBON, A LA CARTA,Restaurantes de autoservicio
AL SABOR DE ROSA, A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas
ALAZAN Y EL ROSILLO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ALBAHACA BASILICO, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ALCALDE SUC 157, A LA CARTA,Restaurantes de autoservicio
ALCALDE_38640, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ALDIN, A LA CARTA,Servicios de preparación de otros alimentos para consumo inmediato
ALEJANRA GIL COPADO, A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas
ALIMENTOS, A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas
ALIMENTOS, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ALIMENTOS, A LA CARTA,Restaurantes con servicio de preparación de antojitos
ALIMENTOS ROGELIO, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ALITLAN, A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ALKIMIA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ALMACEN, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ALMACEN DE COMA 33, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ALMERASH, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ALTAGRACIA RESTAURANT, A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas
AMANDAS RESTAURANT, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
AMARANTE COMIDA, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AMOR DE MIS AMORES, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
AMORCITO MIO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ANGELES GOURMET, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ANGELITA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ANGELO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ANGORA 9, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ANITA LI, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ANNAVI, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ARAGON COCINA CONTEPORANEA, A LA CARTA,Servicios de preparación de otros alimentos para consumo inmediato
ARROZ JAZMIN, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ARSENI OCHOA LOPEZ, A LA CARTA,Servicios de preparación de otros alimentos para consumo inmediato
ARTE Y COSINA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ARTICA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ASIA TROPICAL, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ASTROBOMIS, A LA CARTA,Servicios de preparación de otros alimentos para consumo inmediato
BALBIS BAR RESTAURANTE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
BALBOA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
BALBOA MARKET RESTAURANTE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LOS MANDILES, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LOS MEJORES, A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
LOS MONCHIS RESTAURANT, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LOS NIETOS, A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
LOS OLIVOS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LOS PIBES DEL GAUCHO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LOS REFRANES DEL SABOR, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
LOS REMEDIOS RESTAURANT BAR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LOS SABORES DE LA TIERRA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LOS SAPITOS, A LA CARTA,Restaurantes de autoservicio
AUNTIE ANNES, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AZTK, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
MISTER WOLF, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
MITOTE, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
MOKES COMEDOR, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
MONASTERIO, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
SORBETE DE ILUSIONES, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
SR. CONEJO, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
VENTA DE COMIDA SIN NOMBRE, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
VENTA DE COMIDA SIN NOMBRE, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
VENTA DECOMIDA, A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AMADOR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
BRUNO CUCINA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CADEREYTA RICO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CAPRICHO SIN CULPA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CAPRICHOS RESTAURANTE BAR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CARAMBOLA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CASANA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CASUAL, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CASUELAS SAAVEDRA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CHOCOLO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CHUCHITO PEREZ, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
DESATUNOS Y COMIDAS EL GUERRERENSE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
DESAYUNOS LA MADRINA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL ANTOJO DEL CHEF, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL BUEN COMER, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL BUEN GUSTO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL BUEN SAZON, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL COMEDERO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL COMEDOR DEL BUEN SAZON, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL CORAZON DEL SABOR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL COYOTE PINTO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL RODEO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL SABOR DE CASA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL SABOR ME ENCANTA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA BUENA MESA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA CABAÑA DE CABAÑAS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA CABAÑA DEL OSO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA COMPAÑIA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA CONTINENTAL, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA GRAN MURALLA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA GRAN MURALLA RESTAURANT, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA GUAPIRA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA GUISADERIA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA HUMADERA GUZMAN, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA LLENADERA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
PAN Y TOMATE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANT EL MEZQUITE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANT EL PILANCON, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANT EL QUINCHO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANT EL REDIL, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANT LA GALERÍA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANT LA GLORIA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANT LA HERRADURA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE ASIAS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE BACHA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE BALKAN, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE BAR BENYS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE BAR BICENTENARIO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE BAR TITANIO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE BAR TORRES 10, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE DE GOURMAND, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE DE TEO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE MARIETA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE MARY, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE MESTIZAJE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE OPOTE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE PEGUEROS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR SIN NOMBRE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR SIN NOMBRE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE ROBERTO S, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTE-BAR CILANTRO Y PEREJIL, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTES DE COMIDA PARA LLEVAR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
RESTAURANTEV BAR CAMPOAMOR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ROOTS RESTAURANT & BAR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
SABOR A MI, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
SABOR CASERO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
SABOR FAMILIAR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CASA DE NAVA RESTAURANTE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CLUB DE PLAYA ZAMA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CLUB TARRAYA NAUTICO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
COCINA, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL MONCHIS, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL MORRITO, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL MUELLECITO RESTAURANTE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL MUÑE, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
EL ORIGINAL EJECUTIVO PIANO BAR, A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
LA SIMPLE VIDA, A LA CARTA,Restaurantes de autoservicio
LA TERRAZA DEL COLIBRI, A LA CARTA,Restaurantes de autoservicio
LA VAKA, A LA CARTA,Restaurantes de autoservicio
LAS DRUSAS, A LA CARTA,Restaurantes de autoservicio
LAS MICHOACANITAS, A LA CARTA,Restaurantes de autoservicio
MILAGROSO, A LA CARTA,Restaurantes de autoservicio
RESTAURANTE LA CHULADA DEL SABOR, A LA CARTA,Restaurantes de autoservicio
RESTAURANTE MATARROLLO, A LA CARTA,Restaurantes de autoservicio
REY JR, A LA CARTA,Restaurantes de autoservicio
ROBE S, A LA CARTA,Restaurantes de autoservicio
0422 LAS PALMAS CANCÚN 75, A LA CARTA,Restaurantes de autoservicio
AIR MARGARITA VILLE, A LA CARTA,Restaurantes de autoservicio
EL HANGAR DEL CHAMP, A LA CARTA,Restaurantes de autoservicio
EL MANJAR LIBANES, A LA CARTA,Restaurantes de autoservicio
EL PACHUCO DE ORO, A LA CARTA,Restaurantes de autoservicio
EL RECREO, A LA CARTA,Restaurantes de autoservicio
EL TOCHO MOROCHO, A LA CARTA,Restaurantes de autoservicio
ENCOCINATE, A LA CARTA,Restaurantes de autoservicio
FRANCOS, A LA CARTA,Restaurantes de autoservicio
VIVCO ALIMENTOS, A LA CARTA,Restaurantes de autoservicio
VIVCO ALIMENTOS S DE RL DE CV, A LA CARTA,Restaurantes de autoservicio
VOLCANO, A LA CARTA,Restaurantes de autoservicio
BEISBOX, A LA CARTA,Restaurantes de autoservicio
LOUIE GUMBOS, A LA CARTA,Restaurantes de autoservicio
RESTAURANTE LAS PALMAS, A LA CARTA,Restaurantes de autoservicio
RESTAURANTE MIKES, A LA CARTA,Restaurantes de autoservicio
RESTAURANTES DE AUTOSERVICIO, A LA CARTA,Restaurantes de autoservicio
RESTAURANTES DE AUTOSERVICIO, A LA CARTA,Restaurantes de autoservicio
RICCO, A LA CARTA,Restaurantes de autoservicio
VENTE DE COMIDA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
VIANDA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
A COMER, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
