NOMBRE,CATEGORIA,CLASE DE ACTIVIDAD,ID ACT
BARRA TROPICAL,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
BLUE RESTAURANTE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL CACHARRITO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL CACHARRITO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL CACHARRITO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA RECOLELETA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL GAUCHO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
MARDEL,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL LLAGAR ,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL AKELARRE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA TASCA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LOS CANARIOS,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CASER¡O VASCO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
8 DE JULIO SUC 155,A LA CARTA,Restaurantes de autoservicio,722516
8 DE JULIO SUC 271,A LA CARTA,Restaurantes de autoservicio,722516
A MI CASA DESAYUNOS Y COMIDAS,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ABOLENGO RESTARANT BAR,BAR/ALITAS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ABORBORETA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ACUEDUCTO SUC 156,A LA CARTA,Restaurantes de autoservicio,722516
ADA,A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas,722514
AFTER OFFICE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
AGIOS ANGGELOS,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
AGRODOLCE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
AKOMER,A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas,722514
AL BUEN FUEGO,A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",722517
AL ESTILO MINERVA,A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",722517
AL NATURAL,A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas,722514
AL ROJO CARBON,A LA CARTA,Restaurantes de autoservicio,722516
AL SABOR DE ROSA,A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas,722514
ALAZAN Y EL ROSILLO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ALBAHACA BASILICO,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
ALCALDE SUC 157,A LA CARTA,Restaurantes de autoservicio,722516
ALCALDE_38640,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
ALDIN,A LA CARTA,Servicios de preparación de otros alimentos para consumo inmediato,722519
ALEJANRA GIL COPADO,A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas,722514
ALIMENTOS,A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas,722514
ALIMENTOS,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ALIMENTOS,A LA CARTA,Restaurantes con servicio de preparación de antojitos,722513
ALIMENTOS ROGELIO,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
ALITLAN,A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",722517
ALKIMIA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ALMACEN,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ALMACEN DE COMA 33,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ALMERASH,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ALTAGRACIA RESTAURANT,A LA CARTA,Restaurantes con servicio de preparación de tacos y tortas,722514
AMANDAS RESTAURANT,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
AMARANTE COMIDA,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
AMOR DE MIS AMORES,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
AMORCITO MIO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ANGELES GOURMET,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ANGELITA,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ANGELO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ANGORA 9,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ANITA LI,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ANNAVI,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ARAGON COCINA CONTEPORANEA,A LA CARTA,Servicios de preparación de otros alimentos para consumo inmediato,722519
ARROZ JAZMIN,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ARSENI OCHOA LOPEZ,A LA CARTA,Servicios de preparación de otros alimentos para consumo inmediato,722519
ARTE Y COSINA,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ARTICA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASIA TROPICAL,SUSHI/ASIATICA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASTROBOMIS,A LA CARTA,Servicios de preparación de otros alimentos para consumo inmediato,722519
BALBIS BAR RESTAURANTE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
BALBOA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
BALBOA MARKET RESTAURANTE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LOS MANDILES,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LOS MEJORES,A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",722517
LOS MONCHIS RESTAURANT,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LOS NIETOS,A LA CARTA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",722517
LOS OLIVOS,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LOS PIBES DEL GAUCHO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LOS REFRANES DEL SABOR,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
LOS REMEDIOS RESTAURANT BAR,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LOS SABORES DE LA TIERRA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LOS SAPITOS,A LA CARTA,Restaurantes de autoservicio,722516
AUNTIE ANNES,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
AZTK,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
MISTER WOLF,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
MITOTE,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
MOKES COMEDOR,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
MONASTERIO,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
SORBETE DE ILUSIONES,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
SR. CONEJO,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
VENTA DE COMIDA SIN NOMBRE,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
VENTA DE COMIDA SIN NOMBRE,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
VENTA DECOMIDA,A LA CARTA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",722515
AMADOR,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
BRUNO CUCINA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CADEREYTA RICO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CAPRICHO SIN CULPA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CAPRICHOS RESTAURANTE BAR,BAR/ALITAS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CARAMBOLA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CASANA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CASUAL,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CASUELAS SAAVEDRA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CHOCOLO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CHUCHITO PEREZ,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
DESATUNOS Y COMIDAS EL GUERRERENSE,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
DESAYUNOS LA MADRINA,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL ANTOJO DEL CHEF,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL BUEN COMER,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL BUEN GUSTO,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL BUEN SAZON,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL COMEDERO,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL COMEDOR DEL BUEN SAZON,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL CORAZON DEL SABOR,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL COYOTE PINTO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL RODEO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL SABOR DE CASA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL SABOR ME ENCANTA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA BUENA MESA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA CABAÑA DE CABAÑAS,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA CABAÑA DEL OSO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA COMPAÑIA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA CONTINENTAL,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA GRAN MURALLA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA GRAN MURALLA RESTAURANT,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA GUAPIRA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA GUISADERIA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA HUMADERA GUZMAN,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA LLENADERA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
PAN Y TOMATE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT EL MEZQUITE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT EL PILANCON,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
