d_codigo,d_asenta,d_tipo_asenta,D_mnpio
44100,GUADALAJARA CENTRO,COLONIA,GUADALAJARA
44110,VALLARTA PONIENTE,FRACCIONAMIENTO,GUADALAJARA
44130,ARCOS VALLARTA,COLONIA,GUADALAJARA
44130,ARCOS,FRACCIONAMIENTO,GUADALAJARA
44140,OBRERA CENTRO,COLONIA,GUADALAJARA
44150,BARRERA,COLONIA,GUADALAJARA
44150,LAFAYETTE,COLONIA,GUADALAJARA
44158,DEITZ,COLONIA,GUADALAJARA
44160,AMERICANA,COLONIA,GUADALAJARA
44170,SAN ANTONIO,BARRIO,GUADALAJARA
44180,MEXICALTZINGO,BARRIO,GUADALAJARA
44190,MODERNA,COLONIA,GUADALAJARA
44200,ARTESANOS,COLONIA,GUADALAJARA
44200,EL SANTUARIO,BARRIO,GUADALAJARA
44200,CAPILLA DE JESUS,BARRIO,GUADALAJARA
44200,SAGRADA FAMILIA,BARRIO,GUADALAJARA
44210,JARDINES DEL COUNTRY,FRACCIONAMIENTO,GUADALAJARA
44210,JARDINES DEL COUNTRY 2A. SECCION,FRACCIONAMIENTO,GUADALAJARA
44214,UNIVERSIDAD,UNIDAD HABITACIONAL,GUADALAJARA
44215,PARIAN,CONDOMINIO,GUADALAJARA
44216,DEL TRABAJO CTM,UNIDAD HABITACIONAL,GUADALAJARA
44216,FIDEL VELAZQUEZ,UNIDAD HABITACIONAL,GUADALAJARA
44217,RESIDENCIAL VALLARTA COUNTRY,CONJUNTO HABITACIONAL,GUADALAJARA
44218,FABRICA DE ATEMAJAC,FRACCIONAMIENTO,GUADALAJARA
44219,CASA HOGAR CTM,UNIDAD HABITACIONAL,GUADALAJARA
44220,CIRCUNVALACION METRO CARBALLO,COLONIA,GUADALAJARA
44220,GUADALUPANA SUR,COLONIA,GUADALAJARA
44220,SANTA ELENA ALCALDE ORIENTE,FRACCIONAMIENTO,GUADALAJARA
44220,SANTA MONICA,FRACCIONAMIENTO,GUADALAJARA
44220,SANTA ELENA ALCALDE PONIENTE,COLONIA,GUADALAJARA
44220,GUADALUPANA NORTE,COLONIA,GUADALAJARA
44220,SIMON BOLIVAR,UNIDAD HABITACIONAL,GUADALAJARA
44227,JARDINES DE ATEMAJAC,COLONIA,GUADALAJARA
44230,AUTOCINEMA,FRACCIONAMIENTO,GUADALAJARA
44230,SANTA ELENA DE LA CRUZ,FRACCIONAMIENTO,GUADALAJARA
